id,reason,title,body,how,title-length,body-length
2694978,DISCREPANCY,Make my radio buttons become selected in Android,When I run this could and click on the dialog box my radiobuttons do not become selected like intended    Any suggestions? ,Any suggestions?,48,123
2769257,CONCEPTUAL,Updating Activity UI from Different Activity Method?,"I have a tab widget where one of the tabs is a chat-type feature. I want to update the chat data at an interval variable depending on whether the chat tab is active or not.  The best approach seemed to be using an AsyncTask in my main TabActivity class, as that would avoid any issues of the chat activity being destroyed while in the background, while an AsyncTask was running. I wanted to ensure that the Activity isn't destroyed and recreated, thus causing my AsyncTask to be unable to modify the actual active Activity's data.  However, now that my AsyncTask is in the TabActivity activity, I don't have a direct way to call my Chat's ListAdapter notifyDataSetChanged from my onPostExecute method anymore.  Is there a way to get a reference to a given Tab's current Activity from the TabHostTabActivity?  Or, alternatively, can I assume my chat activity will never be destroyed as a child activity of the TabActivity activity well, never destroyed while the TabActivity is active at least, and then just put the AsyncTask in the Chat Activity? ",Is there a way to,52,1048
2769257,CONCEPTUAL,Updating Activity UI from Different Activity Method?,"I have a tab widget where one of the tabs is a chat-type feature. I want to update the chat data at an interval variable depending on whether the chat tab is active or not.  The best approach seemed to be using an AsyncTask in my main TabActivity class, as that would avoid any issues of the chat activity being destroyed while in the background, while an AsyncTask was running. I wanted to ensure that the Activity isn't destroyed and recreated, thus causing my AsyncTask to be unable to modify the actual active Activity's data.  However, now that my AsyncTask is in the TabActivity activity, I don't have a direct way to call my Chat's ListAdapter notifyDataSetChanged from my onPostExecute method anymore.  Is there a way to get a reference to a given Tab's current Activity from the TabHostTabActivity?  Or, alternatively, can I assume my chat activity will never be destroyed as a child activity of the TabActivity activity well, never destroyed while the TabActivity is active at least, and then just put the AsyncTask in the Chat Activity? ",can I assume,52,1048
2973270,CONCEPTUAL,Using a custom typeface in Android,"I want to use a custom font for my android application which I am creating. I can individually change the typeface of each object from Code, but I have hundreds of them.  So,   Is there a way to do this from the XML? [Setting a custom typeface] Is there a way to do it from code in one place, to say that the whole application and all the components should use the custom typeface instead of the default one?  ",Is there a way to do,34,410
2973270,CONCEPTUAL,Using a custom typeface in Android,"I want to use a custom font for my android application which I am creating. I can individually change the typeface of each object from Code, but I have hundreds of them.  So,   Is there a way to do this from the XML? [Setting a custom typeface] Is there a way to do it from code in one place, to say that the whole application and all the components should use the custom typeface instead of the default one?  ",Is there a way to do,34,410
3021401,API_USAGE,Making Overlaid image transparent on touch in Android?,"I need help on making the touched areas of bitmap image transparentseems like erasing while I am moving my finger on that image.  I am having a PNG file with Alpha channel in it. I want to turn the touched pixels to transparent so that, the user can feel that he is actually erasing it.  For this I am using frame layout to load 2 layers. Down layer is for content and upper layer is an Imageview for erasing. I need erase the upper layer when user touch and move his finger on it.  I am not getting how to make it transparent. can anyone please help me in this. If possible please direct me to any sample code, as I am very new to this image processing.  Thanks in advance.  ",I am not getting how to make it transparent. can anyone please help me in this.,54,676
3061467,CONCEPTUAL,findViewById returns null in new Intent,"I am having a problem where in the started Intent, the findViewById returns null.  Is there anything special I should know about starting a new intent?  It goes something like this for me:    then in the new Stuff's constructor:    and in the StuffAdapter I do my usual view and data retrieval.   Note the line where findViewById returns null:    The curious thing is that in the class that calls intent MainList class, I do Exactly the same thing i list a bunch of objects, and it Works! however when I try to do it in an Intent - it can't seem to find the view by id.  For completeness I wanted to add that my list resource file is call ""stuff_list.xml"" and my row layout file is called ""stuff_row.xml"". ",Is there anything special I should know,39,706
3061467,DISCREPANCY,findViewById returns null in new Intent,"I am having a problem where in the started Intent, the findViewById returns null.  Is there anything special I should know about starting a new intent?  It goes something like this for me:    then in the new Stuff's constructor:    and in the StuffAdapter I do my usual view and data retrieval.   Note the line where findViewById returns null:    The curious thing is that in the class that calls intent MainList class, I do Exactly the same thing i list a bunch of objects, and it Works! however when I try to do it in an Intent - it can't seem to find the view by id.  For completeness I wanted to add that my list resource file is call ""stuff_list.xml"" and my row layout file is called ""stuff_row.xml"". ",however when I try to do,39,706
3166288,DISCREPANCY,Getting text from a Listview,I have a ListView that gets filled from a cursor using rawQuery that I need to get the text of the selected item from on click.    But I'm not sure about the right way to do it. The getItemAtPosition that I've seen in other posts doesn't seem to work... ,doesn't seem to work,28,254
3237566,DISCREPANCY,Text Gallery on Android?,"I have a gallery with the TextView to achieve the segment controller on the image below. I can achieve it by the ApiDemo's Gallery Example but I am lagging on the look and feel of the gallery.  I want to do the backgrounds, Selecteddeselected and selected item won't be cone to the center of the screen.  Any Idea or Articles are most Thankful.  image http:www.freeimagehosting.netuploadscce47da969.png  I have tried to get using 2 ways. that are:     <ol>  The ouput getting is in the below image:  image http:www.freeimagehosting.netuploadsb4c1be5924.png  I have Problem on Both to get the proper output.   In Gallery View,   can not Change Background of Selected Item.and make it us rounded corner. Selected Item comes to the center horizontal of the Screen Automatically.   In horizontal View,   More Complicated when the 's number is large. Can not find a way similar to On Click Item. if i have use switch case. the previous problem comes again.  ",I have tried to,24,953
3237566,DISCREPANCY,Text Gallery on Android?,"I have a gallery with the TextView to achieve the segment controller on the image below. I can achieve it by the ApiDemo's Gallery Example but I am lagging on the look and feel of the gallery.  I want to do the backgrounds, Selecteddeselected and selected item won't be cone to the center of the screen.  Any Idea or Articles are most Thankful.  image http:www.freeimagehosting.netuploadscce47da969.png  I have tried to get using 2 ways. that are:     <ol>  The ouput getting is in the below image:  image http:www.freeimagehosting.netuploadsb4c1be5924.png  I have Problem on Both to get the proper output.   In Gallery View,   can not Change Background of Selected Item.and make it us rounded corner. Selected Item comes to the center horizontal of the Screen Automatically.   In horizontal View,   More Complicated when the 's number is large. Can not find a way similar to On Click Item. if i have use switch case. the previous problem comes again.  ",I have Problem,24,953
3267554,CONCEPTUAL,Multithreading this sample code:,"So here's some code on http:groups.google.comgroupandroid-developersbrowse_threadthread16a2216b39513674 in which the poster writes that he's shortened ideas into a single threaded app.  A respondent below his post says, essentially, that's great, nice work, but there are benefits to multithreading so things don't interfere with other stuff on your handset.  My question is:  Evidently, the original poster reduced, distilled ideas from multithreaded examples he saw in order to make them easier to read, posted them, cool.  But what would a multithreaded version of the below code look like?  Would Runnable be on a separate thread?  Or the whole callback?  Or not those but something else?  Anything else?  Would it be even better if it were run as a service, and then a Runnable thread spawned from the service?  Is a service considered a separate thread from the UI?  As you can tell this question is about the basics of multithreading for Android.  Thanks for any info.   ",what would a multithreaded version of the below code look like,32,978
3267554,REVIEW,Multithreading this sample code:,"So here's some code on http:groups.google.comgroupandroid-developersbrowse_threadthread16a2216b39513674 in which the poster writes that he's shortened ideas into a single threaded app.  A respondent below his post says, essentially, that's great, nice work, but there are benefits to multithreading so things don't interfere with other stuff on your handset.  My question is:  Evidently, the original poster reduced, distilled ideas from multithreaded examples he saw in order to make them easier to read, posted them, cool.  But what would a multithreaded version of the below code look like?  Would Runnable be on a separate thread?  Or the whole callback?  Or not those but something else?  Anything else?  Would it be even better if it were run as a service, and then a Runnable thread spawned from the service?  Is a service considered a separate thread from the UI?  As you can tell this question is about the basics of multithreading for Android.  Thanks for any info.   ",Would it be even better,32,978
3267554,CONCEPTUAL,Multithreading this sample code:,"So here's some code on http:groups.google.comgroupandroid-developersbrowse_threadthread16a2216b39513674 in which the poster writes that he's shortened ideas into a single threaded app.  A respondent below his post says, essentially, that's great, nice work, but there are benefits to multithreading so things don't interfere with other stuff on your handset.  My question is:  Evidently, the original poster reduced, distilled ideas from multithreaded examples he saw in order to make them easier to read, posted them, cool.  But what would a multithreaded version of the below code look like?  Would Runnable be on a separate thread?  Or the whole callback?  Or not those but something else?  Anything else?  Would it be even better if it were run as a service, and then a Runnable thread spawned from the service?  Is a service considered a separate thread from the UI?  As you can tell this question is about the basics of multithreading for Android.  Thanks for any info.   ",Is a service considered,32,978
3472234,CONCEPTUAL,How can a StringBuilder best be converted to a String[]?,"The following code sort of works, but fixes the number of elements in String[]. Is there a way to make a String[] add the number of elements needed dynamically?   ",Is there a way to,56,163
3472234,REVIEW,How can a StringBuilder best be converted to a String[]?,"The following code sort of works, but fixes the number of elements in String[]. Is there a way to make a String[] add the number of elements needed dynamically?   ",How can a StringBuilder best be,56,163
3504619,CONCEPTUAL,Animation transition between activities using FLAG_ACTIVITY_CLEAR_TOP,"In my android app, I'm making a method that pop all activities and bring up the first activity.  I use this code:    As I noticed that the transition was still a left to right animation, does someone know if there is a way to change system animation when starting an activity?  Actually, I'd ideally like to have a right to left transition like when the return button is tapped  thanks for help! ",if there is a way to,69,396
3570831,ERRORS,CursorIndexOutOfBoundsException caused by Uri,Here is my LogCat log:    Here is the  method where I get the cursor:    And here is where I actually start the activity:    I already have my own content provider and I set it up properly. ,CursorIndexOutOfBoundsException,45,190
3570831,ERRORS,CursorIndexOutOfBoundsException caused by Uri,Here is my LogCat log:    Here is the  method where I get the cursor:    And here is where I actually start the activity:    I already have my own content provider and I set it up properly. ,LogCat log,45,190
3628544,DISCREPANCY,Edit List Items in ListView,I have a listview from an SQLDatabase using custom CursorAdaptor. I would like to go back to the activity that i used to create the items when i click on them in the listview.so that i can edit the entries. But nothing happen when i implement the OnItemClick method and the getItemId on the CursorAdapter even though am not sure i am correct there. Here is my Code:   ,But nothing happen,27,368
3634444,REVIEW,androidopengles alpha textures not semitransparent but binary transparent,"I am drawing some textures with alpha channel, but when they are displayed it looks like the alpha channel is only binary.  So a pixel is either transparent or opaque, although in the texture file itself the pixel is half-transparent.  The blending is set up like this:    Is there a workaround for this problem?  The above shows how it should be like, and the below shows how it is:   ",Is there a workaround,73,386
3682644,API_USAGE,How do I put graphics on top of my camera preview in Android?,"I see a couple of threads on this topic, but none of them seem to answer the question, so, I'm giving it another go...  Very simple idea... I want to some portion of the screen to preview and shoot the camera and the other portions of the screen to add my own graphical elements buttons, colorful frame around the camera preview, etc.  The example that comes with Android fills the screen.  The obvious solution that doesn't seem to be working is to use my own SurfaceView rather than the one they do in the example and have it sitting in my XML.  The code beneath doesn't crash and reports that it's firing up the camera... it just never renders on the screen.  I have no idea what I'm doing incorrectly.  My guess is that it has something to do with the display thread never having the urge to redraw anything after it renders the initial screen, but I even tried adding a button and initiating the camera to render on the surface view upon button click, but that has not provoked it any further. most of this code is pulled directly out of the Android sample code, so, I'm sure it's correct.  I'm just doing something wrong in how I pull my View in after the fact, I think.  Any and all help greatly appreciated.    } ",How do I,61,1221
3682644,DISCREPANCY,How do I put graphics on top of my camera preview in Android?,"I see a couple of threads on this topic, but none of them seem to answer the question, so, I'm giving it another go...  Very simple idea... I want to some portion of the screen to preview and shoot the camera and the other portions of the screen to add my own graphical elements buttons, colorful frame around the camera preview, etc.  The example that comes with Android fills the screen.  The obvious solution that doesn't seem to be working is to use my own SurfaceView rather than the one they do in the example and have it sitting in my XML.  The code beneath doesn't crash and reports that it's firing up the camera... it just never renders on the screen.  I have no idea what I'm doing incorrectly.  My guess is that it has something to do with the display thread never having the urge to redraw anything after it renders the initial screen, but I even tried adding a button and initiating the camera to render on the surface view upon button click, but that has not provoked it any further. most of this code is pulled directly out of the Android sample code, so, I'm sure it's correct.  I'm just doing something wrong in how I pull my View in after the fact, I think.  Any and all help greatly appreciated.    } ",that doesn't seem to be working,61,1221
3682644,DISCREPANCY,How do I put graphics on top of my camera preview in Android?,"I see a couple of threads on this topic, but none of them seem to answer the question, so, I'm giving it another go...  Very simple idea... I want to some portion of the screen to preview and shoot the camera and the other portions of the screen to add my own graphical elements buttons, colorful frame around the camera preview, etc.  The example that comes with Android fills the screen.  The obvious solution that doesn't seem to be working is to use my own SurfaceView rather than the one they do in the example and have it sitting in my XML.  The code beneath doesn't crash and reports that it's firing up the camera... it just never renders on the screen.  I have no idea what I'm doing incorrectly.  My guess is that it has something to do with the display thread never having the urge to redraw anything after it renders the initial screen, but I even tried adding a button and initiating the camera to render on the surface view upon button click, but that has not provoked it any further. most of this code is pulled directly out of the Android sample code, so, I'm sure it's correct.  I'm just doing something wrong in how I pull my View in after the fact, I think.  Any and all help greatly appreciated.    } ",what I'm doing incorrectly,61,1221
3682644,DISCREPANCY,How do I put graphics on top of my camera preview in Android?,"I see a couple of threads on this topic, but none of them seem to answer the question, so, I'm giving it another go...  Very simple idea... I want to some portion of the screen to preview and shoot the camera and the other portions of the screen to add my own graphical elements buttons, colorful frame around the camera preview, etc.  The example that comes with Android fills the screen.  The obvious solution that doesn't seem to be working is to use my own SurfaceView rather than the one they do in the example and have it sitting in my XML.  The code beneath doesn't crash and reports that it's firing up the camera... it just never renders on the screen.  I have no idea what I'm doing incorrectly.  My guess is that it has something to do with the display thread never having the urge to redraw anything after it renders the initial screen, but I even tried adding a button and initiating the camera to render on the surface view upon button click, but that has not provoked it any further. most of this code is pulled directly out of the Android sample code, so, I'm sure it's correct.  I'm just doing something wrong in how I pull my View in after the fact, I think.  Any and all help greatly appreciated.    } ",but I even tried,61,1221
3682644,DISCREPANCY,How do I put graphics on top of my camera preview in Android?,"I see a couple of threads on this topic, but none of them seem to answer the question, so, I'm giving it another go...  Very simple idea... I want to some portion of the screen to preview and shoot the camera and the other portions of the screen to add my own graphical elements buttons, colorful frame around the camera preview, etc.  The example that comes with Android fills the screen.  The obvious solution that doesn't seem to be working is to use my own SurfaceView rather than the one they do in the example and have it sitting in my XML.  The code beneath doesn't crash and reports that it's firing up the camera... it just never renders on the screen.  I have no idea what I'm doing incorrectly.  My guess is that it has something to do with the display thread never having the urge to redraw anything after it renders the initial screen, but I even tried adding a button and initiating the camera to render on the surface view upon button click, but that has not provoked it any further. most of this code is pulled directly out of the Android sample code, so, I'm sure it's correct.  I'm just doing something wrong in how I pull my View in after the fact, I think.  Any and all help greatly appreciated.    } ",doing something wrong,61,1221
3683727,DISCREPANCY,Layout with dynamic position,"I have a layout which might be a bit unusual. The structure is the following:    My customRelativeLayout at the bottom of the XML has a XML layout too:    My CustomRelativeLayout:    What I want to do: I want to be able to change the position of my CustomRelativeLayout. It should be follow my touch. Its smaller than the SurfaceView and should ""slide"" above following my touch...  There are two problems:   The onTouchListener bind to mLinearLayout in CustomRelativeLayout is only triggered once and only for ACTION_DOWN. I see the log output only once The note never changes the position, it is never redrawn with the changed matrix... I see the output stated in  never after the touch happened. <ol>  First might be because the SurfaceView also handles touch events. But I thought if the CustomRelativeLayout handles it first, it should work.  Some ideas?  Edit for solution  Thanks to Xil3 I was able to remove the wall I was run into... here is my solution:  my note xml:    And here is my constructor:    I also found a bugfeatureissue, which is absolutely new for me: When I remove the background in my note root element which is currently transparent the note is only visible within the 200dp widthheight I have set in the inner LinearLayout. So its not , its  even as I set it to . So  and  only use the given  when a background is set... weired... ",There are two problems:,28,1358
3683727,DISCREPANCY,Layout with dynamic position,"I have a layout which might be a bit unusual. The structure is the following:    My customRelativeLayout at the bottom of the XML has a XML layout too:    My CustomRelativeLayout:    What I want to do: I want to be able to change the position of my CustomRelativeLayout. It should be follow my touch. Its smaller than the SurfaceView and should ""slide"" above following my touch...  There are two problems:   The onTouchListener bind to mLinearLayout in CustomRelativeLayout is only triggered once and only for ACTION_DOWN. I see the log output only once The note never changes the position, it is never redrawn with the changed matrix... I see the output stated in  never after the touch happened. <ol>  First might be because the SurfaceView also handles touch events. But I thought if the CustomRelativeLayout handles it first, it should work.  Some ideas?  Edit for solution  Thanks to Xil3 I was able to remove the wall I was run into... here is my solution:  my note xml:    And here is my constructor:    I also found a bugfeatureissue, which is absolutely new for me: When I remove the background in my note root element which is currently transparent the note is only visible within the 200dp widthheight I have set in the inner LinearLayout. So its not , its  even as I set it to . So  and  only use the given  when a background is set... weired... ",it should work.,28,1358
3751794,API_USAGE,How can I get user defined Environment variables?,I would like to use self defined Environment variables in my source code. I use System.getenv to do this and the code line looks like this.    before I execute my code I define my AP variable with export:  and the this is my output of set command     ...  Then I execute my code and I get this line from logcat     The value for my defined Environment variable is null. Any suggestions on why it didn't work?  ,How can I,49,410
3751794,DISCREPANCY,How can I get user defined Environment variables?,I would like to use self defined Environment variables in my source code. I use System.getenv to do this and the code line looks like this.    before I execute my code I define my AP variable with export:  and the this is my output of set command     ...  Then I execute my code and I get this line from logcat     The value for my defined Environment variable is null. Any suggestions on why it didn't work?  ,Any suggestions on why it didn't work?,49,410
3885077,API_USAGE,Setting parameters on child views of a RelativeLayout,I'm having trouble finding exactly the syntax I need to use to set the paramters on child views of a relative layout. I have a root relative layout that I want to set 2 child textviews next to each other like this   ---------- --------- | Second | | First | ---------- ---------   So I have     How do I set the relative alignments? ,How do I,53,333
3900943,API_USAGE,How do I implement multiple views that react to onTouch?,"Let's say I have MyActivity and inside my onCreate method I initialize MyBackgroundView, then MyPlayer1View then MyPlayer2View.  I want to be able to touch the screen, figure out if I have touched Player1 or Player2 and then respond with changes to the players if I have touched them.    My problem is, where do I put the onTouchListener?  Can only MyBackgroundView listen for touches, or can the players listen for touches too?  If MyBackgroundView can only accept touches, do I need to call view.ontouchlistener that says, you have touched me, and I have a player at those coordinates, so I'll pass the motion event to the player and let it handle it?  Or do call view.ontouchlistener in each of the players that says, you've touched me, now I will react to the motion event? ",How do I,56,778
3900943,CONCEPTUAL,How do I implement multiple views that react to onTouch?,"Let's say I have MyActivity and inside my onCreate method I initialize MyBackgroundView, then MyPlayer1View then MyPlayer2View.  I want to be able to touch the screen, figure out if I have touched Player1 or Player2 and then respond with changes to the players if I have touched them.    My problem is, where do I put the onTouchListener?  Can only MyBackgroundView listen for touches, or can the players listen for touches too?  If MyBackgroundView can only accept touches, do I need to call view.ontouchlistener that says, you have touched me, and I have a player at those coordinates, so I'll pass the motion event to the player and let it handle it?  Or do call view.ontouchlistener in each of the players that says, you've touched me, now I will react to the motion event? ",where do I put,56,778
3900943,CONCEPTUAL,How do I implement multiple views that react to onTouch?,"Let's say I have MyActivity and inside my onCreate method I initialize MyBackgroundView, then MyPlayer1View then MyPlayer2View.  I want to be able to touch the screen, figure out if I have touched Player1 or Player2 and then respond with changes to the players if I have touched them.    My problem is, where do I put the onTouchListener?  Can only MyBackgroundView listen for touches, or can the players listen for touches too?  If MyBackgroundView can only accept touches, do I need to call view.ontouchlistener that says, you have touched me, and I have a player at those coordinates, so I'll pass the motion event to the player and let it handle it?  Or do call view.ontouchlistener in each of the players that says, you've touched me, now I will react to the motion event? ","Can only MyBackgroundView listen for touches, or can",56,778
3900943,CONCEPTUAL,How do I implement multiple views that react to onTouch?,"Let's say I have MyActivity and inside my onCreate method I initialize MyBackgroundView, then MyPlayer1View then MyPlayer2View.  I want to be able to touch the screen, figure out if I have touched Player1 or Player2 and then respond with changes to the players if I have touched them.    My problem is, where do I put the onTouchListener?  Can only MyBackgroundView listen for touches, or can the players listen for touches too?  If MyBackgroundView can only accept touches, do I need to call view.ontouchlistener that says, you have touched me, and I have a player at those coordinates, so I'll pass the motion event to the player and let it handle it?  Or do call view.ontouchlistener in each of the players that says, you've touched me, now I will react to the motion event? ",do I need to,56,778
4142091,CONCEPTUAL,Is there a way to have a Progress Bar both progress and have the indeterminate animation?,"For example:  http:jqueryui.comdemosprogressbar#animated  The progress bar has it's progress increasing from 0 to 100 percent but it still has some animation to it.  This helps show the user something is still happening even if the bar is stopped at one point for a moment.  When I set the progress bar to indeterminate, it no longer shows the progress.  Is there a built in way to accomplish this or will I need to subclass ProgressBar? ",Is there a way to,89,438
4142091,CONCEPTUAL,Is there a way to have a Progress Bar both progress and have the indeterminate animation?,"For example:  http:jqueryui.comdemosprogressbar#animated  The progress bar has it's progress increasing from 0 to 100 percent but it still has some animation to it.  This helps show the user something is still happening even if the bar is stopped at one point for a moment.  When I set the progress bar to indeterminate, it no longer shows the progress.  Is there a built in way to accomplish this or will I need to subclass ProgressBar? ",Is there a built in way to accomplish this or will I need to,89,438
4174017,API_USAGE,android numpad keyboard,how do i make it so that when focus is brought to an input text field in my application that the numpad keyboard with the 9 number keys on them opens rather than the full qwerty keyboard? ,how do i,23,188
4177992,DISCREPANCY,Android Mimic Auto-Link Intent for Email- Missing Address,"I was wondering how I can mimic the action that occurs on an auto-linked email address via an intent.  I tried using this method, Messaging and email intents in Android? and ran in on my phone and in my emulator and the message window opened but did not have the email address.  And the composer window for the auto-link looks different than the composer for the following code.  Any ideas?  Here is the code from the link above so you dont have to click:   ",I tried using,57,458
4177992,DISCREPANCY,Android Mimic Auto-Link Intent for Email- Missing Address,"I was wondering how I can mimic the action that occurs on an auto-linked email address via an intent.  I tried using this method, Messaging and email intents in Android? and ran in on my phone and in my emulator and the message window opened but did not have the email address.  And the composer window for the auto-link looks different than the composer for the following code.  Any ideas?  Here is the code from the link above so you dont have to click:   ",but did not have,57,458
4177992,DISCREPANCY,Android Mimic Auto-Link Intent for Email- Missing Address,"I was wondering how I can mimic the action that occurs on an auto-linked email address via an intent.  I tried using this method, Messaging and email intents in Android? and ran in on my phone and in my emulator and the message window opened but did not have the email address.  And the composer window for the auto-link looks different than the composer for the following code.  Any ideas?  Here is the code from the link above so you dont have to click:   ",Any ideas?,57,458
4221425,API_USAGE,Prevent Android from downloading video from website,"I am a web developer delivering video on a webpage. When I link to a video file .m4v, Android wants to download the video to the phone, and then you can play the video from your phone.  On an iPhone and Palm Pre, however, the same link just opens up the video in the media player, and returns to the web page upon completion.  My website is for members only, and I would prefer them not to be able to download the videos. Obviously I know there is no way to completely protect the videos, but I would like to at least make it appear like you can't download the video for a casual user. Streaming is not really an option.  So my question is how do I deliver the iPhone experience opening in a media player on an Android phone?  FYI, I've been testing this out with my Evo. ",how do I,51,772
4249783,API_USAGE,How can I create a custom titlebar for all of my activities?,I have seen many examples of creating a custom titlebar: http:zaman91.wordpress.com20100316android-how-to-add-custom-title-bar  Is there a simpler way of doing this? I think it is a bit overkill to have to implement the custom titlebar code in onCreate for every activity. ,How can I,60,273
4249783,REVIEW,How can I create a custom titlebar for all of my activities?,I have seen many examples of creating a custom titlebar: http:zaman91.wordpress.com20100316android-how-to-add-custom-title-bar  Is there a simpler way of doing this? I think it is a bit overkill to have to implement the custom titlebar code in onCreate for every activity. ,Is there a simpler way,60,273
